# X,Y,Z,PX,PY
1.750000000000000000e+02,-6.000000000000000000e+01,6.500000000000000000e+01,9.892341666506586080e+02,7.613746752232152630e+02
1.750000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,9.593198713708227388e+02,6.198140585930574389e+02
1.750000000000000000e+02,0.000000000000000000e+00,4.500000000000000000e+01,9.578520742116562587e+02,5.911994152125654409e+02
1.750000000000000000e+02,0.000000000000000000e+00,6.500000000000000000e+01,9.554156019228829564e+02,5.604975866868918501e+02
1.750000000000000000e+02,6.000000000000000000e+01,2.500000000000000000e+01,9.331045774553870160e+02,4.541481607545419479e+02
1.750000000000000000e+02,6.000000000000000000e+01,4.500000000000000000e+01,9.309329197133165508e+02,4.209018987825511431e+02
1.750000000000000000e+02,6.000000000000000000e+01,6.500000000000000000e+01,9.286391985724010283e+02,3.845569667238547709e+02
1.750000000000000000e+02,1.200000000000000000e+02,2.500000000000000000e+01,9.103664218694518695e+02,3.072089614750587998e+02
1.750000000000000000e+02,1.200000000000000000e+02,4.500000000000000000e+01,9.073931858043993088e+02,2.695628746330190211e+02
1.750000000000000000e+02,1.200000000000000000e+02,6.500000000000000000e+01,9.046282856867294413e+02,2.293272918000608627e+02
2.200000000000000000e+02,-1.200000000000000000e+02,2.500000000000000000e+01,1.187416160165427300e+03,9.988722722436637014e+02
2.200000000000000000e+02,-1.200000000000000000e+02,4.500000000000000000e+01,1.198282635075176813e+03,9.847690875119835709e+02
2.200000000000000000e+02,-1.200000000000000000e+02,6.500000000000000000e+01,1.209522586865144376e+03,9.700769419822016744e+02
2.200000000000000000e+02,-6.000000000000000000e+01,2.500000000000000000e+01,1.143831187572346153e+03,7.863805432896243701e+02
2.200000000000000000e+02,-6.000000000000000000e+01,4.500000000000000000e+01,1.150976128713338085e+03,7.644368779630018480e+02
2.200000000000000000e+02,-6.000000000000000000e+01,6.500000000000000000e+01,1.158975977923878872e+03,7.380992166937973025e+02
2.200000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,1.104924772291301451e+03,6.021579893675549329e+02
2.200000000000000000e+02,0.000000000000000000e+00,4.500000000000000000e+01,1.110086084333996723e+03,5.739620538313913585e+02
2.200000000000000000e+02,0.000000000000000000e+00,6.500000000000000000e+01,1.115688176354723055e+03,5.407872301103448081e+02
2.200000000000000000e+02,6.000000000000000000e+01,2.500000000000000000e+01,1.070895315078660360e+03,4.383110892432111427e+02
2.200000000000000000e+02,6.000000000000000000e+01,4.500000000000000000e+01,1.074570533348963636e+03,4.038740895515626903e+02
2.200000000000000000e+02,6.000000000000000000e+01,6.500000000000000000e+01,1.078440554478210288e+03,3.665294651344494810e+02
2.200000000000000000e+02,1.200000000000000000e+02,2.500000000000000000e+01,1.040690121571711188e+03,2.924070311640934392e+02
2.200000000000000000e+02,1.200000000000000000e+02,4.500000000000000000e+01,1.043332239649858138e+03,2.545145966091632204e+02
2.200000000000000000e+02,1.200000000000000000e+02,6.500000000000000000e+01,1.045618345169033319e+03,2.135064898638441662e+02
2.650000000000000000e+02,-1.200000000000000000e+02,2.500000000000000000e+01,1.349683623684689337e+03,9.762162221570850988e+02
2.650000000000000000e+02,-1.200000000000000000e+02,4.500000000000000000e+01,1.368151331838365650e+03,9.617289510157477253e+02
2.650000000000000000e+02,-1.200000000000000000e+02,6.500000000000000000e+01,1.388069689295042963e+03,9.444854484217288473e+02
2.650000000000000000e+02,-6.000000000000000000e+01,2.500000000000000000e+01,1.296367700410148018e+03,7.668507918232072598e+02
2.650000000000000000e+02,-6.000000000000000000e+01,4.500000000000000000e+01,1.310891644254028506e+03,7.437154840184464319e+02
2.650000000000000000e+02,-6.000000000000000000e+01,6.500000000000000000e+01,1.326752740853352634e+03,7.177460981420670123e+02
2.650000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,1.249020797023250225e+03,5.858389633433607742e+02
2.650000000000000000e+02,0.000000000000000000e+00,4.500000000000000000e+01,1.260593486198870096e+03,5.563479443569553951e+02
2.650000000000000000e+02,0.000000000000000000e+00,6.500000000000000000e+01,1.273358444885109975e+03,5.226356662824803152e+02
2.650000000000000000e+02,6.000000000000000000e+01,2.500000000000000000e+01,1.207766981018472279e+03,4.225761354177699900e+02
2.650000000000000000e+02,6.000000000000000000e+01,4.500000000000000000e+01,1.217150539867956923e+03,3.872726913318503534e+02
2.650000000000000000e+02,6.000000000000000000e+01,6.500000000000000000e+01,1.227337805862513051e+03,3.502621222020542291e+02
2.650000000000000000e+02,1.200000000000000000e+02,2.500000000000000000e+01,1.170677833791649164e+03,2.779996577467014731e+02
2.650000000000000000e+02,1.200000000000000000e+02,4.500000000000000000e+01,1.177595613399333843e+03,2.389918252158511791e+02
2.650000000000000000e+02,1.200000000000000000e+02,6.500000000000000000e+01,1.185490775391960597e+03,1.979253589280731944e+02
